openalex_id,doi,titulo,ano,periodico,source_id,issn,url,acesso_aberto,autores,docentes_ppge,linhas
"https://openalex.org/W7171715405","10.5902/1984644494540","Necessidades formativas docentes no processo de Inclusão Escolar no Ensino Fundamental","2026","Educação (UFSM)","https://openalex.org/S2738869710","0101-9031","https://doi.org/10.5902/1984644494540","aberto","Mirian Mirna Becker; Cremilda Peres Cangussu de Abreu; Ana Paula Gestoso de Souza; Aline Maria de Medeiros Rodrigues Reali","Aline Maria de Medeiros Rodrigues Reali; Ana Paula Gestoso de Souza","FPOAE"
"https://openalex.org/W7169797145","10.1590/1516-731320260019","O apagamento moral dos sujeitos em tempos de onipresença tecnológica: esboços críticos para a educação científica a partir do conto Ordem a bom preço, de Primo Levi","2026","Ciência & Educação (Bauru)","https://openalex.org/S2736612050","1516-7313","https://doi.org/10.1590/1516-731320260019","aberto","Michel Pisa Carnio; João Carlos Soares Zuin","Michel Pisa Carnio","ECM"
"https://openalex.org/W7167416975","10.47249/rba20261011","O ATO DE LER DIALÓGICO","2026","Revista Brasileira de Alfabetização","https://openalex.org/S4210176012","2446-8576","https://doi.org/10.47249/rba20261011","aberto","Patrícia Berlini Alves Ferreira; Fabiana Marini Braga","Fabiana Marini Braga","EETPC"
"https://openalex.org/W7143475134","10.5965/1984723827632026367","O narrar da experiência de um grupo colaborativo em Geometria nos anos iniciais","2026","Linhas","https://openalex.org/S4393917424","1518-367X","https://doi.org/10.5965/1984723827632026367","aberto","Klinger Teodoro Ciríaco; Fernando Schlindwein Santino; Gislaine Aparecida Puton Zortêa","Klinger Teodoro Ciríaco","FPOAE"
"https://openalex.org/W7167829224","10.7213/1981-416x.26.089.ao09","Pesquisas espanholas sobre aprendizagem do campo aritmético e suas metodologias de investigação","2026","Revista Diálogo Educacional","https://openalex.org/S4306527104","1518-3483","https://doi.org/10.7213/1981-416x.26.089.ao09","aberto","José Wrigell; Klinger Teodoro Ciríaco; Ana Caballero Carrasco","Klinger Teodoro Ciríaco","FPOAE"
"https://openalex.org/W7165516560","10.1590/1980-6248-2025-0061en","Political formation of activists and party-affiliated activists in the 2013 protests: experiences and political subjectivation","2026","Pro-Posições","https://openalex.org/S4210208850","0103-7307","https://doi.org/10.1590/1980-6248-2025-0061en","aberto","Luís Antônio Groppo; Josefa Alexandrina da Silva; Lívia Furtado Borges; Emanoely Ladeira Sigiani; Gislene Silva; José Daniel Coutinho Silva; Joana Marins Vianna; Fernanda Milan de Carvalho; MH Santos","Luís Antonio Groppo","HFSE"
"https://openalex.org/W7124989834","10.1590/cc297736","PRÁTICAS EDUCATIVAS NO CENTRO SOCIOEDUCATIVO DE INTERNAÇÃO FEMININA DE MANAUS/AM: DESAFIOS E ESPERANÇAS","2026","Cadernos CEDES","https://openalex.org/S63371229","0101-3262","https://doi.org/10.1590/cc297736","aberto","Edla Cristina; Elenice Maria Cammarosano Onofre","Elenice Maria Cammarosano Onofre","EPFH"
"https://openalex.org/W7131870927","10.24276/rrecien2026.16.44009","Processos educacionais para profissionais de enfermagem em um hospital filantrópico","2026","Revista Recien","https://openalex.org/S4210207964","2177-157X","https://doi.org/10.24276/rrecien2026.16.44009","aberto","Daniele Perez Gomes; Adriana Barbieri Feliciano; Maristel Kasper; Aline Guerra Aquilante","Aline Guerra Aquilante","PSPE"
"https://openalex.org/W7202172289","10.70773/revistatopicos/786390605","PRODUÇÃO CIENTÍFICA DO GEPEC (2010-2020): ANÁLISE BIBLIOMÉTRICA E CONTRIBUIÇÕES PARA A EDUCAÇÃO DO CAMPO","2026","Revista Tópicos.","https://openalex.org/S4404661896","2965-6672","https://doi.org/10.70773/revistatopicos/786390605","aberto","Patric Oberdan dos Santos; Luiz Bezerra Neto","Luiz Bezerra Neto","EPFH"
"https://openalex.org/W7170938463","10.5902/1984644472159","Proposição teórico-conceitual para a análise da institucionalização da Educação a Distância pública","2026","Educação (UFSM)","https://openalex.org/S2738869710","0101-9031","https://doi.org/10.5902/1984644472159","aberto","Braian Veloso; Daniel Mill","Braian Garrito Veloso; Daniel Ribeiro Silva Mill","ECS"
